Texto,Classificacao
Com diversidade e alegria para toda família ,Positiva
Uma colorida e irresistível variedade,Positiva
O que posso fazer por você?,Positiva
"Aprecie as pequenas coisas, como um brigadeiro bem docinho",Positiva
Eu quero a vida com muita cobertura e muito recheio,Positiva
"O ingrediente mais importante é o amor, e aqui é o que mais usamos!",Positiva
A felicidade mora em um doce,Positiva
Felicidade é só uma questão de chocolate,Positiva
Confeitar é um jeito de amar ,Positiva
"Com açúcar e com afeto, fiz o seu doce predileto",Positiva
Escolha a sobremesa do seu dia,Positiva
Que a nossa doçura seja contagiante!,Positiva
De todos os ingredientes da vida o amor é o mais doce,Positiva
Delícia mesmo é adoçar a vida ao lado de quem a gente ama,Positiva
Viva de bem; passe sempre pela confeitaria,Positiva
"Ande sempre leve, tenha pirulitos no bolso",Positiva
A gratidão é um marshmallow ,Positiva
"Melhor que marshmallow, só beijo com sabor de caramelo",Positiva
Aqui tem frutas embaladas em sonhos,Positiva
Temos o seu sabor preferido ,Positiva
Permita-se a surpresa de nossos sabores ,Positiva
Leve um pacote de felicidade,Positiva
Os mais macios e gostosos ,Positiva
"Direto da embalagem ou no espeto, são ideais para assar",Positiva
"Em volta da fogueira ou chocolate, da maneira que você quiser",Positiva
Tudo que é bom é doce ,Positiva
Sua festa ainda mais alegre com a nossa ajuda,Positiva
Deixe sua comemoração mais colorida e doce com nossos kit festas ,Positiva
Festança para sua casa,Positiva
Nossa produção: Produtos coloridos e deliciosos,Positiva
Trazer alegria para crianças e adultos,Positiva
Sinta a refrescância,Positiva
Um recheio super macio e cremoso envolvido em uma cobertura fina e consistente,Positiva
Descobrir é delicioso,Positiva
Sonhando com um doce,Positiva
Para adoçar ainda mais a sua compra ,Positiva
Doce ou travessuras ,Positiva
Novidade que dá gosto,Positiva
"Por ai, tem história boa para contar ",Positiva
Espalhar doces gentilezas,Positiva
Trouxe um presentinho para você ,Positiva
Bora adoçar?,Positiva
Gentileza deixa o mundo mais doce ,Positiva
Assista uma série com alguém especial e divída um marshmallow,Positiva
Expressar o quanto uma pessoa é importante para você ,Positiva
O gostoso da vida está nos pequenos gestos,Positiva
Eu queria pela primeira vez de novo,Positiva
O mundo mágico da alegria ,Positiva
Um parceria de milhões de sabores,Positiva
Seu melhor estilo,Positiva
Doce mania que vicia,Negativa
Não podemos te ajudar no momento,Negativa
"Brigadeiro não engorda, preenche o corpo de felicidade",Negativa
Briga? Só se for brigadeiro! ,Negativa
Diga não à dieta,Negativa
"Sem dieta, sem balança, sem preocupação com quilos",Negativa
"Diga não à tristeza, preocupe-se menos com a balança ",Negativa
Prejudicial aqui é só o seu recalque,Negativa
Experiência ruim nunca mais ,Negativa
De madrugada é mais gostoso,Negativa
Maluquice e descontrole todo dia,Negativa
"Fruta é bom, mas já experimentou nossos doces",Negativa
O que proibido é mais gostoso,Negativa
Vontade gostosa que não passa,Negativa
"Abriu, sorriu, a calcinha sumiu",Negativa
"Sorria, tem alegria todo dia",Negativa
Não tenho como dividir com vocẽ,Negativa
Itens essenciais para seu dia ,Negativa
Afogar minhas inseguranças em doce,Negativa
Vontade gigante de doce não sai de mim,Negativa
Deliciar um docinho é moleza demais ,Negativa
Gaveta cheia de doces é um ótimo refúgio para o antiestress,Negativa
Um doce toda hora vale ouro,Negativa
A verdade é que um pacote de doce é tão delicioso que acaba em um piscar de olhos,Negativa
Ansioso? Um doce resolve,Negativa
A paixão por doce cresce a cada dia,Negativa
Competidor por doce é gostoso demais,Negativa
No hora da fome pode sair umas combinações meio diferentes,Negativa
"Nessa competição, passe para o lado do doce da força",Negativa
Todos os momentos deveria ter um doce ,Negativa
A companinha doce para a vida,Negativa
Você não vai querer dividir o pacote,Negativa
O azar passa longe de quem tem doce,Negativa
Seu estômago pede doce ,Negativa
Lista de coisas que melhoram o meu humor ,Negativa
Vida sem doce não vale a pena,Negativa
Não deixe seu pacote perdido por aí,Negativa
Como você devora seus marshmallow,Negativa
Durante horas um pacote como companhia,Negativa
"Esconda seus pacotes, doce não se divide ",Negativa
Sempre existe um pacote maior ,Negativa
"Você pode comer o pacote todo, sim",Negativa
Não deixe para amanhã o que você pode comer hoje,Negativa
Como está seu humor hoje? Deixe um doce melhorar ,Negativa
"Tinha um problema, agora tem um pacote de doce",Negativa
"Café da manhã, almoço ou jantar? Não importa toda hora é hora de doces",Negativa
Se o que não vivo sem? Um café e um bom doce,Negativa
Doce no final de semana? Claro e na seman toda também,Negativa
Pacote de doce é companhia para a vida toda,Negativa
Melhor que fruta? Somente um doce de sobremesa,Negativa
